OKC
station,valid,tmpf,tmpc,dwpf,dwpc,relh,feel,drct,sknt,sped,alti,mslp,p01m,p01i
OKC,2024-11-26 05:52,26.00,-3.33,23.00,-5.00,88.23,26.00,0.00,0.00,0.00,30.29,1026.40,0.00,0.00
OKC,2024-11-26 06:52,26.00,-3.33,22.00,-5.56,84.59,20.41,240.00,4.00,4.60,30.28,1026.40,0.00,0.00
OKC,2024-11-26 07:52,28.00,-2.22,26.00,-3.33,92.08,24.12,180.00,3.00,3.45,30.28,1026.20,0.00,0.00
OKC,2024-11-26 08:52,36.00,2.22,29.00,-1.67,75.46,32.09,160.00,4.00,4.60,30.27,1025.50,0.00,0.00
OKC,2024-11-26 09:52,41.00,5.00,23.00,-5.00,48.39,35.75,120.00,7.00,8.05,30.25,1025.00,0.00,0.00
OKC,2024-11-26 10:52,45.00,7.22,23.00,-5.00,41.50,40.63,160.00,7.00,8.05,30.22,1023.90,0.00,0.00
OKC,2024-11-26 11:52,50.00,10.00,24.00,-4.44,35.86,50.00,180.00,13.00,14.95,30.16,1021.70,0.00,0.00
OKC,2024-11-26 12:52,54.00,12.22,20.00,-6.67,26.13,54.00,180.00,12.00,13.80,30.11,1019.90,0.00,0.00
OKC,2024-11-26 13:52,56.00,13.33,22.00,-5.56,26.45,56.00,170.00,12.00,13.80,30.05,1017.80,0.00,0.00
OKC,2024-11-26 14:52,55.00,12.78,24.00,-4.44,29.83,55.00,170.00,12.00,13.80,30.02,1016.80,0.00,0.00
OKC,2024-11-26 15:52,54.00,12.22,25.00,-3.89,32.26,54.00,170.00,14.00,16.10,29.98,1015.70,0.00,0.00
OKC,2024-11-26 16:52,53.00,11.67,27.00,-2.78,36.36,53.00,170.00,14.00,16.10,29.96,1014.90,0.00,0.00
OKC,2024-11-26 17:52,50.00,10.00,30.00,-1.11,45.93,50.00,170.00,12.00,13.80,29.94,1014.50,0.00,0.00
OKC,2024-11-26 18:52,46.00,7.78,31.00,-0.56,55.58,43.77,170.00,4.00,4.60,29.95,1014.70,0.00,0.00
OKC,2024-11-26 19:52,43.00,6.11,32.00,0.00,64.88,38.78,170.00,6.00,6.90,29.94,1014.60,0.00,0.00
OKC,2024-11-26 20:52,45.00,7.22,34.00,1.11,65.13,40.13,170.00,8.00,9.20,29.93,1014.00,0.00,0.00
OKC,2024-11-26 21:52,47.00,8.33,35.00,1.67,62.84,41.09,170.00,12.00,13.80,29.90,1012.50,0.00,0.00
OKC,2024-11-26 22:52,46.00,7.78,35.00,1.67,65.26,40.92,160.00,9.00,10.35,29.88,1011.70,0.00,0.00
OKC,2024-11-26 23:52,45.00,7.22,36.00,2.22,70.53,39.27,160.00,10.00,11.50,29.84,1010.30,0.00,0.00
OKC,2024-11-27 00:52,45.00,7.22,37.00,2.78,73.37,39.27,160.00,10.00,11.50,29.80,1008.90,0.00,0.00
OKC,2024-11-27 01:52,46.00,7.78,38.00,3.33,73.47,40.92,160.00,9.00,10.35,29.76,1007.70,0.00,0.00
OKC,2024-11-27 02:52,46.00,7.78,38.00,3.33,73.47,41.84,170.00,7.00,8.05,29.74,1006.90,0.00,0.00
OKC,2024-11-27 03:52,45.00,7.22,39.00,3.89,79.36,40.13,160.00,8.00,9.20,29.71,1005.80,0.00,0.00
OKC,2024-11-27 04:52,44.00,6.67,39.00,3.89,82.44,39.98,160.00,6.00,6.90,29.69,1005.20,0.00,0.00
OKC,2024-11-27 05:52,44.00,6.67,40.00,4.44,85.71,39.41,160.00,7.00,8.05,29.66,1004.50,0.00,0.00
OKC,2024-11-27 06:52,44.00,6.67,41.00,5.00,89.11,38.02,180.00,10.00,11.50,29.64,1003.90,0.00,0.00
OKC,2024-11-27 07:52,45.00,7.22,41.00,5.00,85.77,41.19,160.00,6.00,6.90,29.65,1004.00,0.00,0.00
OKC,2024-11-27 08:52,48.00,8.89,43.00,6.11,82.72,46.10,160.00,4.00,4.60,29.66,1004.20,0.00,0.00
OKC,2024-11-27 09:52,51.00,10.56,44.00,6.67,76.85,51.00,360.00,4.00,4.60,29.67,1004.70,0.00,0.00
OKC,2024-11-27 10:52,54.00,12.22,44.00,6.67,68.82,54.00,330.00,5.00,5.75,29.67,1004.50,0.00,0.00
OKC,2024-11-27 11:52,56.00,13.33,43.00,6.11,61.59,56.00,320.00,9.00,10.35,29.68,1004.80,0.00,0.00
OKC,2024-11-27 12:52,53.00,11.67,43.00,6.11,68.71,53.00,330.00,16.00,18.40,29.69,1005.30,0.00,0.00
OKC,2024-11-27 13:52,53.00,11.67,41.00,5.00,63.61,53.00,350.00,17.00,19.55,29.72,1006.30,0.00,0.00
OKC,2024-11-27 14:52,51.00,10.56,41.00,5.00,68.48,51.00,340.00,18.00,20.70,29.78,1008.40,0.00,0.00
OKC,2024-11-27 15:52,52.00,11.11,39.00,3.89,61.06,52.00,350.00,19.00,21.85,29.81,1009.50,0.00,0.00
OKC,2024-11-27 16:52,51.00,10.56,37.00,2.78,58.58,51.00,340.00,18.00,20.70,29.89,1012.30,0.00,0.00
OKC,2024-11-27 17:52,47.00,8.33,35.00,1.67,62.84,39.06,340.00,20.00,23.00,29.94,1013.90,0.00,0.00
OKC,2024-11-27 18:52,46.00,7.78,37.00,2.78,70.64,38.67,350.00,16.00,18.40,29.98,1015.30,0.00,0.00
OKC,2024-11-27 19:52,47.00,8.33,36.00,2.22,65.38,39.49,360.00,18.00,20.70,30.01,1016.40,0.00,0.00
OKC,2024-11-27 20:52,45.00,7.22,37.00,2.78,73.37,38.22,350.00,13.00,14.95,30.05,1017.60,0.00,0.00
OKC,2024-11-27 21:52,43.00,6.11,36.00,2.22,76.12,34.49,350.00,17.00,19.55,30.07,1018.50,0.00,0.00
OKC,2024-11-27 22:52,41.00,5.00,34.00,1.11,75.94,31.60,340.00,18.00,20.70,30.10,1019.40,0.00,0.00
OKC,2024-11-27 23:52,38.00,3.33,31.00,-0.56,75.65,26.61,350.00,22.00,25.30,30.10,1019.50,0.00,0.00
OKC,2024-11-28 00:52,37.00,2.78,29.00,-1.67,72.54,26.05,350.00,19.00,21.85,30.11,1019.80,0.00,0.00
OKC,2024-11-28 01:52,37.00,2.78,29.00,-1.67,72.54,27.26,360.00,15.00,17.25,30.13,1020.50,0.00,0.00
OKC,2024-11-28 02:52,36.00,2.22,28.00,-2.22,72.43,25.01,360.00,18.00,20.70,30.14,1020.90,0.00,0.00
OKC,2024-11-28 03:52,34.00,1.11,27.00,-2.78,75.26,26.00,350.00,9.00,10.35,30.17,1022.10,0.00,0.00
OKC,2024-11-28 04:52,33.00,0.56,26.00,-3.33,75.17,23.27,350.00,12.00,13.80,30.18,1022.50,0.00,0.00
OKC,2024-11-28 05:52,32.00,0.00,26.00,-3.33,78.25,21.57,350.00,13.00,14.95,30.21,1023.40,0.00,0.00
OKC,2024-11-28 06:52,31.00,-0.56,25.00,-3.89,78.16,20.73,350.00,12.00,13.80,30.24,1024.40,0.00,0.00
OKC,2024-11-28 07:52,32.00,0.00,25.00,-3.89,75.07,22.47,350.00,11.00,12.65,30.26,1025.20,0.00,0.00
OKC,2024-11-28 08:52,34.00,1.11,25.00,-3.89,69.28,23.37,360.00,15.00,17.25,30.28,1026.00,0.00,0.00
OKC,2024-11-28 09:52,37.00,2.78,25.00,-3.89,61.50,27.97,360.00,13.00,14.95,30.31,1026.80,0.00,0.00
OKC,2024-11-28 10:52,39.00,3.89,25.00,-3.89,56.86,31.31,20.00,11.00,12.65,30.30,1026.80,0.00,0.00
OKC,2024-11-28 11:52,42.00,5.56,25.00,-3.89,50.61,35.51,20.00,10.00,11.50,30.29,1026.20,0.00,0.00
OKC,2024-11-28 12:52,43.00,6.11,25.00,-3.89,48.70,37.66,10.00,8.00,9.20,30.26,1025.10,0.00,0.00
OKC,2024-11-28 13:52,45.00,7.22,24.00,-4.44,43.28,39.68,360.00,9.00,10.35,30.25,1024.70,0.00,0.00
OKC,2024-11-28 14:52,46.00,7.78,24.00,-4.44,41.67,40.92,350.00,9.00,10.35,30.24,1024.50,0.00,0.00
OKC,2024-11-28 15:52,46.00,7.78,24.00,-4.44,41.67,42.39,360.00,6.00,6.90,30.23,1024.40,0.00,0.00
OKC,2024-11-28 16:52,45.00,7.22,23.00,-5.00,41.50,40.63,10.00,7.00,8.05,30.25,1024.80,0.00,0.00
OKC,2024-11-28 17:52,42.00,5.56,24.00,-4.44,48.55,39.10,360.00,4.00,4.60,30.26,1025.30,0.00,0.00
OKC,2024-11-28 18:52,41.00,5.00,24.00,-4.44,50.46,37.93,40.00,4.00,4.60,30.28,1026.10,0.00,0.00
OKC,2024-11-28 19:52,37.00,2.78,24.00,-4.44,58.99,34.40,20.00,3.00,3.45,30.29,1026.60,0.00,0.00
OKC,2024-11-28 20:52,36.00,2.22,25.00,-3.89,63.98,33.26,340.00,3.00,3.45,30.31,1027.40,0.00,0.00
OKC,2024-11-28 21:52,34.00,1.11,25.00,-3.89,69.28,29.76,330.00,4.00,4.60,30.34,1028.10,0.00,0.00
OKC,2024-11-28 22:52,34.00,1.11,25.00,-3.89,69.28,30.97,320.00,3.00,3.45,30.34,1028.10,0.00,0.00
OKC,2024-11-28 23:52,32.00,0.00,25.00,-3.89,75.07,32.00,0.00,0.00,0.00,30.35,1028.30,0.00,0.00
OKC,2024-11-29 00:52,32.00,0.00,25.00,-3.89,75.07,26.40,60.00,5.00,5.75,30.35,1028.40,0.00,0.00
OKC,2024-11-29 01:52,28.00,-2.22,23.00,-5.00,81.25,28.00,0.00,0.00,0.00,30.34,1028.00,0.00,0.00
OKC,2024-11-29 02:52,27.00,-2.78,23.00,-5.00,84.66,21.58,150.00,4.00,4.60,30.35,1028.40,0.00,0.00
OKC,2024-11-29 03:52,29.00,-1.67,25.00,-3.89,84.79,25.26,270.00,3.00,3.45,30.36,1028.80,0.00,0.00
OKC,2024-11-29 04:52,30.00,-1.11,25.00,-3.89,81.40,30.00,0.00,0.00,0.00,30.37,1029.00,0.00,0.00
OKC,2024-11-29 05:52,25.00,-3.89,22.00,-5.56,88.18,20.69,200.00,3.00,3.45,30.38,1029.70,0.00,0.00
OKC,2024-11-29 06:52,26.00,-3.33,23.00,-5.00,88.23,26.00,0.00,0.00,0.00,30.39,1030.00,0.00,0.00
OKC,2024-11-29 07:52,25.00,-3.89,23.00,-5.00,91.97,19.25,160.00,4.00,4.60,30.40,1030.60,0.00,0.00
OKC,2024-11-29 08:52,33.00,0.56,28.00,-2.22,81.63,27.58,160.00,5.00,5.75,30.42,1030.90,0.00,0.00
OKC,2024-11-29 09:52,39.00,3.89,30.00,-1.11,69.85,33.96,170.00,6.00,6.90,30.42,1030.80,0.00,0.00
OKC,2024-11-29 10:52,44.00,6.67,28.00,-2.22,53.07,38.44,160.00,9.00,10.35,30.41,1030.30,0.00,0.00
OKC,2024-11-29 11:52,47.00,8.33,24.00,-4.44,40.12,42.59,180.00,8.00,9.20,30.38,1029.40,0.00,0.00
OKC,2024-11-29 12:52,51.00,10.56,23.00,-5.00,33.13,51.00,M,6.00,6.90,30.34,1027.90,0.00,0.00
OKC,2024-11-29 13:52,51.00,10.56,22.00,-5.56,31.77,51.00,200.00,10.00,11.50,30.32,1027.20,0.00,0.00
OKC,2024-11-29 14:52,52.00,11.11,23.00,-5.00,31.93,52.00,230.00,8.00,9.20,30.28,1026.10,0.00,0.00
OKC,2024-11-29 15:52,51.00,10.56,21.00,-6.11,30.45,51.00,220.00,14.00,16.10,30.27,1025.60,0.00,0.00
OKC,2024-11-29 16:52,47.00,8.33,24.00,-4.44,40.12,43.06,210.00,7.00,8.05,30.26,1025.10,0.00,0.00
OKC,2024-11-29 17:52,40.00,4.44,23.00,-5.00,50.30,35.17,200.00,6.00,6.90,30.25,1025.40,0.00,0.00
OKC,2024-11-29 18:52,38.00,3.33,24.00,-4.44,56.71,32.76,210.00,6.00,6.90,30.25,1025.60,0.00,0.00
OKC,2024-11-29 19:52,36.00,2.22,24.00,-4.44,61.37,29.04,200.00,8.00,9.20,30.25,1025.50,0.00,0.00
OKC,2024-11-29 20:52,36.00,2.22,25.00,-3.89,63.98,32.09,200.00,4.00,4.60,30.24,1025.00,0.00,0.00
OKC,2024-11-29 21:52,32.00,0.00,24.00,-4.44,72.00,24.11,170.00,8.00,9.20,30.24,1024.80,0.00,0.00
OKC,2024-11-29 22:52,33.00,0.56,24.00,-4.44,69.16,26.73,160.00,6.00,6.90,30.23,1024.40,0.00,0.00
OKC,2024-11-29 23:52,31.00,-0.56,25.00,-3.89,78.16,24.33,150.00,6.00,6.90,30.22,1023.90,0.00,0.00
