station,valid,tmpf,dwpf,relh,sped,p01i
NYC,2024-11-27 23:51,49.00,27.00,42.16,4.60,0.00
NYC,2024-11-28 00:51,49.00,28.00,43.93,0.00,0.00
NYC,2024-11-28 01:51,48.00,30.00,49.49,0.00,T
NYC,2024-11-28 02:51,48.00,30.00,49.49,3.45,T
NYC,2024-11-28 03:51,47.00,34.00,60.38,4.60,0.00
NYC,2024-11-28 04:51,46.00,37.00,70.64,4.60,T
NYC,2024-11-28 05:51,44.00,40.00,85.71,3.45,0.05
NYC,2024-11-28 06:51,44.00,41.00,89.11,6.90,0.06
NYC,2024-11-28 07:51,45.00,42.00,89.15,8.05,0.07
NYC,2024-11-28 08:51,45.00,42.00,89.15,0.00,0.07
NYC,2024-11-28 09:51,46.00,44.00,92.68,0.00,0.15
NYC,2024-11-28 10:51,47.00,46.00,96.29,4.60,0.25
NYC,2024-11-28 11:51,49.00,46.00,89.33,5.75,0.11
NYC,2024-11-28 12:51,49.00,47.00,92.77,0.00,0.09
NYC,2024-11-28 13:51,47.00,45.00,92.71,3.45,0.01
NYC,2024-11-28 14:51,47.00,44.00,89.24,5.75,0.00
NYC,2024-11-28 15:51,45.00,41.00,85.77,4.60,0.00
NYC,2024-11-28 16:51,43.00,38.00,82.37,12.65,0.00
NYC,2024-11-28 17:51,43.00,36.00,76.12,M,0.00
NYC,2024-11-28 18:51,43.00,33.00,67.54,13.80,0.00
NYC,2024-11-28 19:51,43.00,32.00,64.88,5.75,0.00
NYC,2024-11-28 20:51,43.00,32.00,64.88,M,0.00
NYC,2024-11-28 21:51,43.00,31.00,62.31,9.20,0.00
NYC,2024-11-28 22:51,42.00,31.00,64.75,8.05,0.00
NYC,2024-11-28 23:51,42.00,29.00,59.69,8.05,0.00
NYC,2024-11-29 00:51,42.00,29.00,59.69,6.90,0.00
NYC,2024-11-29 01:51,41.00,28.00,59.55,6.90,0.00
NYC,2024-11-29 02:51,41.00,27.00,57.15,4.60,0.00
NYC,2024-11-29 03:51,41.00,27.00,57.15,6.90,0.00
NYC,2024-11-29 04:51,39.00,28.00,64.37,5.75,0.00
NYC,2024-11-29 05:51,41.00,28.00,59.55,4.60,0.00
NYC,2024-11-29 06:51,41.00,30.00,64.63,3.45,0.00
NYC,2024-11-29 07:51,41.00,31.00,67.30,4.60,T
NYC,2024-11-29 08:51,42.00,31.00,64.75,3.45,0.00
NYC,2024-11-29 09:51,42.00,31.00,64.75,0.00,0.00
NYC,2024-11-29 10:51,44.00,30.00,57.59,6.90,0.00
NYC,2024-11-29 11:51,46.00,28.00,49.18,M,0.00
NYC,2024-11-29 12:51,47.00,27.00,45.45,M,T
NYC,2024-11-29 13:51,45.00,24.00,43.28,8.05,0.00
NYC,2024-11-29 14:51,44.00,26.00,48.86,5.75,0.00
NYC,2024-11-29 15:51,44.00,25.00,46.88,10.35,0.00
NYC,2024-11-29 16:51,41.00,29.00,62.04,6.90,T
NYC,2024-11-29 17:51,40.00,30.00,67.18,M,0.00
NYC,2024-11-29 18:51,39.00,25.00,56.86,6.90,0.00
NYC,2024-11-29 19:51,38.00,23.00,54.39,3.45,0.00
NYC,2024-11-29 20:51,37.00,20.00,49.82,8.05,0.00
NYC,2024-11-29 21:51,35.00,20.00,53.93,4.60,0.00
NYC,2024-11-29 22:51,35.00,19.00,51.67,8.05,0.00
NYC,2024-11-29 23:51,34.00,19.00,53.77,6.90,0.00
